菜系分类,,人均消费,评价人数,评分
京鲁菜,count,53.0,53.0,53.0
京鲁菜,mean,82.50943396226415,187.37735849056602,77.13207547169812
京鲁菜,std,61.24623148265767,449.3513798292231,25.665029886425565
京鲁菜,min,18.0,0.0,0.0
京鲁菜,25%,32.0,1.0,70.0
京鲁菜,50%,70.0,30.0,82.0
京鲁菜,75%,115.0,174.0,94.0
京鲁菜,max,300.0,2388.0,100.0
川湘菜,count,1515.0,1515.0,1515.0
川湘菜,mean,50.524752475247524,270.2858085808581,78.33003300330033
川湘菜,std,24.34450862622672,680.1775378448568,27.16400339143531
川湘菜,min,10.0,0.0,0.0
川湘菜,25%,35.0,1.0,70.0
川湘菜,50%,49.0,30.0,84.0
川湘菜,75%,60.0,207.5,100.0
川湘菜,max,454.0,9828.0,100.0
江浙菜,count,1500.0,1500.0,1500.0
江浙菜,mean,86.03733333333334,169.752,77.516
江浙菜,std,243.03357686928666,465.8735450054641,26.259603738931055
江浙菜,min,3.0,-110.0,0.0
江浙菜,25%,46.0,1.0,70.0
江浙菜,50%,60.0,21.0,82.0
江浙菜,75%,84.0,129.0,96.0
江浙菜,max,7940.0,7860.0,100.0
火锅,count,1760.0,1760.0,1760.0
火锅,mean,71.6034090909091,398.32272727272726,85.65795454545454
火锅,std,52.81648524855731,994.3190883773678,22.383170104865773
火锅,min,10.0,0.0,0.0
火锅,25%,48.0,8.0,80.0
火锅,50%,63.5,54.5,94.0
火锅,75%,88.0,284.5,100.0
火锅,max,800.0,10882.0,100.0
粤港菜,count,552.0,552.0,552.0
粤港菜,mean,112.66666666666667,212.65217391304347,81.41666666666667
粤港菜,std,126.54219375274809,692.0726455178184,19.118513118431828
粤港菜,min,15.0,0.0,0.0
粤港菜,25%,49.0,1.0,72.0
粤港菜,50%,76.0,16.0,82.0
粤港菜,75%,123.0,120.0,94.5
粤港菜,max,1000.0,8805.0,100.0
西餐,count,1562.0,1562.0,1562.0
西餐,mean,87.43982074263765,180.54673495518566,85.05761843790013
西餐,std,90.19352402762236,651.937704628618,18.19442323167297
西餐,min,5.0,0.0,0.0
西餐,25%,35.0,1.0,80.0
西餐,50%,60.0,11.0,90.0
西餐,75%,108.0,72.75,100.0
西餐,max,1000.0,10542.0,100.0
